﻿"durak","islem","koltuk","kisi","nereden","nereye","cinsiyet","odeme","tutar","zaman"
"Denizli","bindi","3","","Denizli","Sart","bay","nakit","","2026-04-30 09:42:29"
"Denizli","bindi","4","","Denizli","Sart","bayan","nakit","","2026-04-30 09:42:39"
"Denizli","bindi","9","","Denizli","Manisa Otogar","bayan","nakit","","2026-04-30 09:43:17"
"Denizli","bindi","13","","Denizli","Turgutlu Garaj","","nakit","","2026-04-30 09:43:28"
"Denizli","bindi","16","","Denizli","Alibeyköy","bayan","nakit","","2026-04-30 09:43:43"
"Denizli","bindi","17","","Denizli","Manisa Otogar","bay","nakit","","2026-04-30 09:43:57"
"Denizli","bindi","20","","Denizli","Manisa Otogar","bay","nakit","","2026-04-30 09:44:11"
"Denizli","bindi","24","","Denizli","Manisa Otogar","bay","nakit","","2026-04-30 09:44:24"
"Denizli","bindi","21","","Denizli","Baraj Yolu","bay","nakit","","2026-04-30 09:44:38"
"Denizli","bindi","33","","Denizli","Bursa Otogar","bayan","nakit","","2026-04-30 09:44:56"
"Denizli","bindi","34","","Denizli","Bursa Otogar","bayan","nakit","","2026-04-30 09:45:10"
"Denizli","bindi","1","","Denizli","Balıkesir Otogar","bayan","nakit","","2026-04-30 09:56:42"
"Denizli","bindi","25","","Denizli","Sarıgöl","bay","nakit","","2026-04-30 09:57:06"
"Denizli","bindi","1","","Denizli","Akhisar Garaj","bayan","nakit","","2026-04-30 10:30:14"
"Denizli","bindi","1","","Denizli","Akhisar Garaj","bayan","nakit","","2026-04-30 13:37:20"
"Buldan","bindi","11","","Buldan","Alaşehir OTOGAR","bay","nakit","","2026-04-30 10:08:48"
"Buldan","bindi","29","","Buldan","Salihli","bayan","nakit","","2026-04-30 10:26:32"
"Buldan","bindi","5","","Buldan","Alaşehir OTOGAR","bayan","nakit","","2026-04-30 10:27:01"
"Sarayköy","bindi","42","","Sarayköy","Alaşehir OTOGAR","bay","nakit","","2026-04-30 10:09:00"
"Sarayköy","bindi","11","","Sarayköy","Alaşehir OTOGAR","bay","nakit","","2026-04-30 10:09:26"
"Sarayköy","bindi","12","","Sarayköy","Alaşehir OTOGAR","bay","nakit","","2026-04-30 10:09:39"
"Baraj Yolu","indi","21","","Denizli","Baraj Yolu","bay","nakit","","2026-04-30 10:35:56"
"Sarıgöl","indi","25","","Denizli","Sarıgöl","bay","nakit","","2026-04-30 10:53:54"
"Alaşehir OTOGAR","bindi","25","","Alaşehir OTOGAR","Balıkesir Otogar","bayan","nakit","","2026-04-30 11:21:29"
"Alaşehir OTOGAR","bindi","43","","Alaşehir OTOGAR","Turgutlu Garaj","bayan","nakit","","2026-04-30 11:24:04"
"Alaşehir OTOGAR","bindi","49","","Alaşehir OTOGAR","Turgutlu Garaj","bayan","nakit","","2026-04-30 11:24:17"
"Alaşehir OTOGAR","bindi","52","","Alaşehir OTOGAR","Turgutlu Garaj","bayan","nakit","","2026-04-30 11:24:25"
"Alaşehir OTOGAR","bindi","42","","Alaşehir OTOGAR","Salihli","bay","nakit","","2026-04-30 11:24:44"
"Alaşehir OTOGAR","bindi","25","","Alaşehir OTOGAR","Esenler Otogar","bay","nakit","","2026-04-30 15:55:25"
"Alaşehir OTOGAR","indi","5","","Buldan","Alaşehir OTOGAR","bayan","nakit","","2026-04-30 11:17:14"
"Alaşehir OTOGAR","indi","11","","Sarayköy","Alaşehir OTOGAR","bay","nakit","","2026-04-30 11:17:14"
"Alaşehir OTOGAR","indi","12","","Sarayköy","Alaşehir OTOGAR","bay","nakit","","2026-04-30 11:17:14"
"Alaşehir OTOGAR","indi","42","","Sarayköy","Alaşehir OTOGAR","bay","nakit","","2026-04-30 11:17:14"
"Alaşehir STADYUM","bindi","5","","Alaşehir STADYUM","Bursa Otogar","bayan","nakit","","2026-04-30 11:29:08"
"Alaşehir STADYUM","bindi","21","","Alaşehir STADYUM","Balıkesir Otogar","bayan","nakit","","2026-04-30 11:29:27"
"Alaşehir STADYUM","bindi","27","","Alaşehir STADYUM","Turgutlu Garaj","bay","nakit","","2026-04-30 11:32:31"
"Alaşehir STADYUM","bindi","27","","Alaşehir STADYUM","Akçapınar","bay","nakit","","2026-04-30 12:22:20"
"Salihli","bindi","19","","Salihli","Alibeyköy","bay","nakit","","2026-04-30 12:07:00"
"Salihli","indi","29","","Buldan","Salihli","bayan","nakit","","2026-04-30 12:02:35"
"Salihli","indi","42","","Alaşehir OTOGAR","Salihli","bay","nakit","","2026-04-30 12:02:35"
"Sart","indi","3","","Denizli","Sart","bay","nakit","","2026-04-30 12:18:40"
"Sart","indi","4","","Denizli","Sart","bayan","nakit","","2026-04-30 12:18:40"
"Akçapınar","indi","27","","Alaşehir STADYUM","Akçapınar","bay","nakit","","2026-04-30 12:36:25"
"Turgutlu Garaj","bindi","7","","Turgutlu Garaj","Esenler Otogar","bay","nakit","","2026-04-30 13:02:39"
"Turgutlu Garaj","bindi","8","","Turgutlu Garaj","Esenler Otogar","bayan","nakit","","2026-04-30 13:02:50"
"Turgutlu Garaj","bindi","13","","Turgutlu Garaj","Gebze Garaj","bay","nakit","","2026-04-30 13:03:21"
"Turgutlu Garaj","bindi","31","","Turgutlu Garaj","Gebze Garaj","bay","nakit","","2026-04-30 13:03:45"
"Turgutlu Garaj","bindi","35","","Turgutlu Garaj","Alibeyköy","bayan","nakit","","2026-04-30 13:04:13"
"Turgutlu Garaj","bindi","43","","Turgutlu Garaj","Balıkesir Otogar","bay","nakit","","2026-04-30 13:04:35"
"Turgutlu Garaj","bindi","37","","Turgutlu Garaj","Esenler Otogar","bay","nakit","","2026-04-30 17:24:28"
"Turgutlu Garaj","bindi","38","","Turgutlu Garaj","Esenler Otogar","bay","nakit","","2026-04-30 17:24:36"
"Turgutlu Garaj","indi","13","","Denizli","Turgutlu Garaj","bayan","nakit","","2026-04-30 12:48:30"
"Turgutlu Garaj","indi","43","","Alaşehir OTOGAR","Turgutlu Garaj","bayan","nakit","","2026-04-30 12:48:30"
"Turgutlu Garaj","indi","49","","Alaşehir OTOGAR","Turgutlu Garaj","bayan","nakit","","2026-04-30 12:48:30"
"Turgutlu Garaj","indi","52","","Alaşehir OTOGAR","Turgutlu Garaj","bayan","nakit","","2026-04-30 12:48:30"
"Akhisar Garaj","bindi","53","","Akhisar Garaj","Esenler Otogar","bay","nakit","","2026-04-30 14:50:32"
"Akhisar Garaj","bindi","54","","Akhisar Garaj","Esenler Otogar","bayan","nakit","","2026-04-30 14:50:45"
"Akhisar Garaj","bindi","53","","Akhisar Garaj","Mustafa Kemal paşa","bay","nakit","","2026-04-30 14:51:02"
"Akhisar Garaj","bindi","54","","Akhisar Garaj","Mustafa Kemal paşa","bayan","nakit","","2026-04-30 14:51:09"
"Akhisar Garaj","bindi","39","","Akhisar Garaj","Esenler Otogar","bayan","nakit","","2026-04-30 14:51:53"
"Akhisar Garaj","indi","1","","Denizli","Akhisar Garaj","bayan","nakit","","2026-04-30 13:36:17"
"Akhisar Garaj","indi","1","","Denizli","Akhisar Garaj","bayan","nakit","","2026-04-30 14:43:43"
"Manisa Otogar","bindi","50","","Manisa Otogar","Esenler Otogar","bay","nakit","","2026-04-30 13:58:23"
"Manisa Otogar","bindi","45","","Manisa Otogar","Esenler Otogar","bayan","nakit","","2026-04-30 13:58:45"
"Manisa Otogar","bindi","46","","Manisa Otogar","Esenler Otogar","bayan","nakit","","2026-04-30 13:58:51"
"Manisa Otogar","bindi","15","","Manisa Otogar","Balıkesir Otogar","bayan","nakit","","2026-04-30 13:59:31"
"Manisa Otogar","bindi","20","","Manisa Otogar","Balıkesir Otogar","bay","nakit","","2026-04-30 14:48:14"
"Manisa Otogar","indi","9","","Denizli","Manisa Otogar","bayan","nakit","","2026-04-30 13:36:26"
"Manisa Otogar","indi","17","","Denizli","Manisa Otogar","bay","nakit","","2026-04-30 13:36:26"
"Manisa Otogar","indi","20","","Denizli","Manisa Otogar","bay","nakit","","2026-04-30 13:36:26"
"Manisa Otogar","indi","24","","Denizli","Manisa Otogar","bay","nakit","","2026-04-30 13:36:26"
"Balıkesir Otogar","bindi","1","","Balıkesir Otogar","Alibeyköy","bay","nakit","","2026-04-30 16:09:32"
"Balıkesir Otogar","bindi","27","","Balıkesir Otogar","Mustafa Kemal paşa","bay","nakit","","2026-04-30 16:10:42"
"Balıkesir Otogar","bindi","28","","Balıkesir Otogar","Mustafa Kemal paşa","bay","nakit","","2026-04-30 16:10:54"
"Balıkesir Otogar","bindi","42","","Balıkesir Otogar","Bursa Otogar","bay","nakit","","2026-04-30 16:11:27"
"Balıkesir Otogar","bindi","29","","Balıkesir Otogar","Bursa Otogar","bayan","nakit","","2026-04-30 16:11:51"
"Balıkesir Otogar","bindi","43","","Balıkesir Otogar","Esenler Otogar","bay","nakit","","2026-04-30 16:12:12"
"Balıkesir Otogar","bindi","49","","Balıkesir Otogar","Alibeyköy","bay","nakit","","2026-04-30 16:12:59"
"Balıkesir Otogar","bindi","51","","Balıkesir Otogar","Esenler Otogar","bayan","nakit","","2026-04-30 16:13:30"
"Balıkesir Otogar","bindi","52","","Balıkesir Otogar","Esenler Otogar","bayan","nakit","","2026-04-30 16:13:40"
"Balıkesir Otogar","indi","15","","Manisa Otogar","Balıkesir Otogar","bayan","nakit","","2026-04-30 15:57:42"
"Balıkesir Otogar","indi","20","","Manisa Otogar","Balıkesir Otogar","bay","nakit","","2026-04-30 15:57:42"
"Balıkesir Otogar","indi","21","","Alaşehir STADYUM","Balıkesir Otogar","bayan","nakit","","2026-04-30 15:57:42"
"Balıkesir Otogar","indi","43","","Turgutlu Garaj","Balıkesir Otogar","bay","nakit","","2026-04-30 15:57:42"
"Susurluk","bindi","3","","Susurluk","Esenler Otogar","bayan","nakit","","2026-04-30 16:44:52"
"Susurluk","bindi","4","","Susurluk","Esenler Otogar","bayan","nakit","","2026-04-30 16:44:58"
"Susurluk","bindi","11","","Susurluk","Esenler Otogar","bayan","nakit","","2026-04-30 16:45:15"
"Susurluk","bindi","12","","Susurluk","Esenler Otogar","bayan","nakit","","2026-04-30 16:45:25"
"Susurluk","bindi","9","","Susurluk","Esenler Otogar","bayan","nakit","","2026-04-30 16:45:33"
"Susurluk","bindi","20","","Susurluk","Alibeyköy","bay","nakit","","2026-04-30 16:46:19"
"Susurluk","bindi","23","","Susurluk","Esenler Otogar","","nakit","","2026-04-30 16:46:40"
"Susurluk","bindi","24","","Susurluk","Esenler Otogar","bayan","nakit","","2026-04-30 16:46:55"
"Mustafa Kemal paşa","bindi","37","","Mustafa Kemal paşa","Esenler Otogar","bay","nakit","","2026-04-30 17:24:12"
"Mustafa Kemal paşa","bindi","17","","Mustafa Kemal paşa","Gebze Garaj","bayan","nakit","","2026-04-30 17:46:59"
"Mustafa Kemal paşa","bindi","21","","Mustafa Kemal paşa","Esenler Otogar","bayan","nakit","","2026-04-30 17:47:11"
"Mustafa Kemal paşa","bindi","54","","Mustafa Kemal paşa","Gebze Garaj","bay","nakit","","2026-04-30 17:47:59"
"Mustafa Kemal paşa","bindi","28","","Mustafa Kemal paşa","Bursa Otogar","bay","nakit","","2026-04-30 17:48:19"
"Mustafa Kemal paşa","indi","27","","Balıkesir Otogar","Mustafa Kemal paşa","bay","nakit","","2026-04-30 17:46:19"
"Mustafa Kemal paşa","indi","28","","Balıkesir Otogar","Mustafa Kemal paşa","bay","nakit","","2026-04-30 17:46:19"
"Mustafa Kemal paşa","indi","53","","Akhisar Garaj","Mustafa Kemal paşa","bay","nakit","","2026-04-30 17:46:19"
